sample_name,source_image,layer_name,vertical_rank,input_polygon_count,reconstructed_polygon_count,polygon_count_abs_diff,corner_count,mask_iou,mask_dice,area_relative_error,centroid_distance_normalized,boundary_chamfer_normalized,boundary_hausdorff_normalized
1000,1000.png,yellow,top,1,1,0,6,0.9886605848750959,0.9942979635584137,0.009472606246799796,0.0008316478991485396,0.0002497395868080961,0.002762135864009951
1000,1000.png,red,middle,1,1,0,6,0.9943841614315629,0.9971841741039469,0.00038173402681681537,0.0003020781611643981,0.0002403243553979513,0.0019334950718797404
1000,1000.png,blue,bottom,1,1,0,4,0.9972641131722941,0.9986301827536668,0.00060156406657309,6.117466905355043e-05,7.406000797555803e-05,0.0019334950718797404
1001,1001.png,yellow,top,1,1,0,7,0.9949342105263158,0.9974606734162187,0.001252389427196625,0.0003307984726007372,0.0001403072033996571,0.0019334950718797404
1001,1001.png,green,middle,1,1,0,8,0.9981465791145944,0.9990724299684626,0.0002649848958609359,2.7385706031328514e-05,7.471001198445285e-05,0.0013810679320049755
1001,1001.png,blue,bottom,1,1,0,6,0.9977708657335407,0.9988841892207488,0.0016101386796862826,9.054203496206814e-05,7.991528154240145e-05,0.0019334950718797404
1002,1002.png,yellow,top,1,1,0,5,0.9955345241268995,0.9977622657893858,0.0006010016694490818,0.00023225300976468453,0.0001454556271898815,0.0019334950718797404
1002,1002.png,green,middle,1,1,0,4,0.9911483253588517,0.9955544875645801,0.001442827942767825,6.368766836072481e-05,0.00016400042575031773,0.0019334950718797404
1002,1002.png,blue,bottom,1,1,0,5,0.9986223083988162,0.9993106793637826,5.105948429920858e-05,8.101910953799738e-06,5.056892277469534e-05,0.0019334950718797404
1003,1003.png,yellow,top,1,1,0,6,0.9910177786037292,0.9954886282318534,0.00403651493510526,0.0006139377488772836,0.00028354310857268245,0.0019334950718797404
1003,1003.png,green,middle,1,1,0,6,0.9954754433335766,0.9977325921591574,0.000585308750365818,0.0001371122197054348,0.00013569922856556988,0.0013810679320049755
1003,1003.png,blue,bottom,1,1,0,5,0.9987937273823885,0.9993964996982498,0.00036741549443627963,3.5387858779203225e-05,4.369265826628821e-05,0.0013810679320049755
1004,1004.png,yellow,top,1,1,0,4,0.9927850774284374,0.9963794778206223,0.001823314904128926,0.00016015710577753207,0.00023874129671882434,0.0019334950718797404
1004,1004.png,green,middle,1,1,0,5,0.9942544459644322,0.9971189463575251,0.0019225487503433123,6.602900182307099e-05,0.0001000764570181654,0.0013810679320049755
1004,1004.png,blue,bottom,1,1,0,5,0.9968405191270111,0.9984177600350527,0.00014604225489241553,7.039918421026224e-05,0.00011659548520910433,0.0019334950718797404
1005,1005.png,yellow,top,1,1,0,5,0.9959506883829748,0.9979712366439746,0.00045073469755701795,4.981477515569157e-05,0.00018271900803255585,0.0019334950718797404
1005,1005.png,green,middle,1,1,0,3,0.9888521882741536,0.9943948515673656,0.0037297969332780773,0.00016240221839482956,0.00018825256202773384,0.0019334950718797404
1005,1005.png,blue,bottom,1,1,0,4,0.9970277410832232,0.9985116586737225,0.0002480261254185441,0.00015313818512640217,0.00013131464952117886,0.0019334950718797404
1006,1006.png,yellow,top,1,1,0,5,0.9964047429736924,0.9981991341991342,0.00027709466246406426,3.233319118796753e-05,0.00018683955188827754,0.002762135864009951
1006,1006.png,green,middle,1,1,0,5,0.9887916625700521,0.9943642475776152,0.005718229320713792,0.0005421603975030038,0.0002577535795618648,0.0013810679320049755
1006,1006.png,blue,bottom,1,1,0,5,0.9986559862372991,0.9993275412217231,0.0005919388688586342,4.159041628280761e-05,4.828908799196988e-05,0.0013810679320049755
1007,1007.png,yellow,top,1,1,0,3,0.9963831867057673,0.998188317093473,9.792401096748923e-05,0.0002571745711577291,0.00013973549415890668,0.0019334950718797404
1007,1007.png,green,middle,1,1,0,5,0.9962508314688274,0.9981218950684599,0.0006056568348373812,5.019200930368847e-05,0.00012440705784473184,0.0019334950718797404
1007,1007.png,blue,bottom,1,1,0,4,0.9941524967300146,0.9970676749749209,0.0013880320789636028,0.00020900591088759006,0.0001373471898928859,0.0019334950718797404
1008,1008.png,yellow,top,1,1,0,4,0.9967531255831312,0.9983739229575912,0.0008601346297681376,6.64709769559102e-05,0.00015414030636599885,0.002762135864009951
1008,1008.png,green,middle,1,1,0,5,0.9969701050363587,0.9984827539701271,0.0006070826306913997,0.00013644954423111,9.404819204088128e-05,0.0019334950718797404
1008,1008.png,blue,bottom,1,1,0,4,0.9976981810015719,0.9988477643818677,0.0007309530503233062,4.4434104597623865e-05,7.698940430758701e-05,0.0013810679320049755
