sample_name,source_image,feature_file,layer_count,mean_mask_iou,mean_mask_dice,mean_area_relative_error,mean_centroid_distance_normalized,mean_boundary_chamfer_normalized,mean_boundary_hausdorff_normalized
1000,1000.png,1000_features.npz,3,0.9934362864929843,0.9967041068053425,0.0034853014467299006,0.0003983002431221627,0.0001880413167272018,0.0022097086692564774
1001,1001.png,1001_features.npz,3,0.9969505517914836,0.9984724308684766,0.0010425043342479478,0.00014957540453137792,9.831083230883714e-05,0.0017493526919214854
1002,1002.png,1002_features.npz,3,0.9951017192948557,0.9975424775725829,0.0006982963655053718,0.0001013475296930697,0.0001200083252382982,0.0019334950718797404
1003,1003.png,1003_features.npz,3,0.9950956497732314,0.9975392400297536,0.0016630797266357859,0.0002621459424539739,0.00015431166513484685,0.0015652103119632305
1004,1004.png,1004_features.npz,3,0.9946266808399603,0.9973053947377334,0.0012973019697882179,9.88617639369551e-05,0.00015180441298203137,0.0017493526919214854
1005,1005.png,1005_features.npz,3,0.9939435392467839,0.9969592489616875,0.001476185918751213,0.00012178505955897445,0.00016742873986048948,0.0019334950718797404
1006,1006.png,1006_features.npz,3,0.9946174639270146,0.9972969743328242,0.0021957542840121635,0.00020536133499125963,0.00016429407314737072,0.0018414239093399673
1007,1007.png,1007_features.npz,3,0.995595504968203,0.9977926290456179,0.0006972043082561578,0.00017212416378300255,0.00013382991396550814,0.0019334950718797404
1008,1008.png,1008_features.npz,3,0.9971404705403538,0.9985681471031954,0.0007327234369276145,8.245154192821468e-05,0.0001083926342381557,0.0020255662892982224
1009,1009.png,1009_features.npz,3,0.9963212353694321,0.998157194511878,0.0012842006467916436,0.00013887885196957876,0.0001112207107536961,0.0020255662892982224
100,100.png,100_features.npz,3,0.9967728700680706,0.9983835163180688,0.0006475144895497103,0.00021317589422235685,0.00011920236537070758,0.0017493526919214854
1010,1010.png,1010_features.npz,3,0.9969317731741673,0.9984628568700771,0.0009108070145954764,6.589152382009657e-05,8.879357794874469e-05,0.0019334950718797404
1011,1011.png,1011_features.npz,3,0.9955046462061695,0.9977467092787499,0.000379107548509472,0.00014189842058545492,0.00011323981850492905,0.0015652103119632305
1012,1012.png,1012_features.npz,3,0.9958856238938064,0.9979373358144586,0.0013166702581300603,0.0001109056673234086,0.00010835447295588583,0.0015652103119632305
1013,1013.png,1013_features.npz,3,0.9949829591461928,0.9974839680241588,0.0009392710523497385,9.177787251335121e-05,0.0001328562404758188,0.0019334950718797404
1014,1014.png,1014_features.npz,3,0.996763069231058,0.9983782991201767,0.0003619344116156181,8.491742773616069e-05,0.00010786116052337933,0.0017493526919214854
1015,1015.png,1015_features.npz,3,0.9970417816620173,0.9985179776482117,0.0010599992758064645,0.0001407273076721987,9.244591981124604e-05,0.0017493526919214854
1016,1016.png,1016_features.npz,3,0.9958728965809912,0.9979312688049812,0.0004705457779303063,8.130186260559963e-05,0.00011493263803197245,0.0015652103119632305
