epoch,train_total_loss,train_sdf_loss,train_corner_loss,train_mask_loss,train_sep_loss,train_consistency_loss,train_latent_reg_loss,val_total_loss,val_sdf_loss,val_corner_loss,val_mask_loss,val_sep_loss,val_consistency_loss,val_latent_reg_loss,val_mean_mask_iou,val_mean_mask_dice,val_mean_area_relative_error,val_mean_centroid_distance_normalized,val_mean_boundary_chamfer_normalized,val_mean_boundary_hausdorff_normalized,val_mean_polygon_count_abs_diff,val_mean_latent_optimization_time_seconds,train_time_seconds,validation_time_seconds,epoch_compute_time_seconds,epoch_time_seconds,cumulative_compute_time_seconds,decoder_learning_rate,latent_learning_rate_current,validation_selection_score,no_improve_count,learning_rate_after_scheduler
1,0.3607860271198054,0.19061013056586187,0.18265439298314354,0.523465843560795,0.4883649737884601,0.09067180406612654,9.754440476778351e-05,0.12041177389522394,0.05971966944634914,0.05541466558352113,0.22252042554318904,0.07631446632246176,0.025172351176540056,0.30745383550723393,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,1.991696805001023,47.070235199993476,247.04962539998814,294.1198605999816,294.1198605999816,294.1198605999816,5e-05,0.005,3.0,0,5e-05
2,0.09020373874033491,0.051644519437104464,0.01990173153268794,0.16311292722821236,0.029944711651963492,0.009174892496472846,0.0030660978673646847,0.0784021694213152,0.044131338410079476,0.014818149626565476,0.1459893445794781,0.03280822423597177,0.008742174715735018,0.31811946419378123,3.144356016363836e-05,6.282250225120443e-05,0.9998798789196771,0.8697595961903765,0.9820921361535769,0.9859470054124917,1.0305555555555554,1.981428100001358,46.39534160000039,245.78667010000208,292.1820117000025,292.1820117000025,586.3018722999841,5e-05,0.005,2.968007698005905,0,5e-05
3,0.07181883833060662,0.039043492373699945,0.013762013175679991,0.13941433637713394,0.03429455608905604,0.008490708167664706,0.008125132290297188,0.06588400475059947,0.03363717092821995,0.011884636369844277,0.13924079636732736,0.03284330774719516,0.007189495135874798,0.20106780640780925,0.0005679638278226781,0.0011280615704525202,0.9989459417631967,0.6987341056453011,0.8412487559903012,0.8703910715672909,1.025,1.9907353633330787,47.43521339999279,246.96957399998792,294.4047873999807,294.4047873999807,880.7066596999648,5e-05,0.005,2.7110718637297695,0,5e-05
4,0.056670993970086174,0.025861191012275717,0.009630264582422872,0.1349839037284255,0.02963990153123935,0.008076620635498936,0.011428716327645815,0.050197244218240185,0.019674576896553237,0.008391993942980965,0.13365175692985456,0.029464278913413484,0.012492776421519617,0.16063869978146006,0.28663170932859133,0.3705692777654355,0.61641880743873,0.1276378893234641,0.15729767958024385,0.25549795831729843,1.225,1.9957152416687072,46.333584300009534,249.58528689999366,295.9188712000032,295.9188712000032,1176.625530899968,5e-05,0.005,1.126163928568951,0,5e-05
5,0.04518047799356282,0.016328318890494607,0.0072666793964648,0.1259775910526514,0.029142142785713077,0.014889891794882714,0.01703246113611385,0.04105008154486616,0.013182550629911324,0.006606694310903549,0.12101297831783692,0.030309545419489343,0.016303101399292547,0.12963726583402604,0.4166468905217941,0.5110089303897701,0.44825728696439227,0.05755256001015157,0.11732476704506938,0.17256719733523038,1.0333333333333334,1.980117388331079,45.85433569998713,247.82586769998306,293.6802033999702,293.6802033999702,1470.3057342999382,5e-05,0.005,0.8732450738585056,0,5e-05
6,0.036921787556881705,0.011794709720804045,0.005585490225348622,0.10932185578470428,0.02910032698418945,0.013756210438441486,0.027814620723559832,0.032492872312044105,0.010003860531530033,0.004580929799703881,0.09833757368226846,0.027328411179284254,0.010551157946853589,0.1133234632977595,0.4960453900565832,0.6139357665129391,0.3712840383465484,0.03802517752608792,0.01655496331289041,0.061241506590071375,1.3333333333333333,1.9887085958359725,47.038453400018625,249.2107581999735,296.2492115999921,296.2492115999921,1766.5549458999303,5e-05,0.005,0.5817510798463785,0,5e-05
7,0.028489830189694962,0.009061523210645343,0.0033827525563538074,0.08614532705396413,0.022563790921897937,0.0078049787242586415,0.042522615399987744,0.02527342114287118,0.007823907812902082,0.002467977745497289,0.07829028333847722,0.01873218632147958,0.006965770847940197,0.12963078908311823,0.6669670889521607,0.792412281520669,0.18648636919686962,0.020129393510140328,0.010920217486605025,0.04315669228054685,0.2,1.912162701668179,47.07925319997594,240.11105460004183,287.19030780001776,287.19030780001776,2053.745253699948,5e-05,0.005,0.3871098208149911,0,5e-05
8,0.023602381395176054,0.00740980704043371,0.0019672203008667564,0.0730037939424316,0.016977592670203497,0.006883660961951439,0.05308518533905347,0.02180583685015639,0.006557451110954086,0.0016477186950699736,0.0687829538869361,0.016557359835132957,0.006409258220810443,0.13920151971591016,0.7119333931044368,0.8257005664934387,0.16743914487688286,0.015895797988633206,0.009430326186864409,0.038263848992826525,0.13333333333333333,1.7237433383338308,44.21146820002468,216.59508749999804,260.8065557000227,260.8065557000227,2314.551809399971,5e-05,0.005,0.3357607820752541,0,5e-05
9,0.020968426174173754,0.00647019218110169,0.0013099283157013513,0.06561438475425045,0.015751453147580228,0.00639690801811715,0.05953181106597185,0.019539966806769372,0.005695610893114159,0.0010678065164635578,0.0627582066381971,0.015295551577582955,0.006021979396852354,0.13276397494288783,0.7260118395438998,0.8353174718569519,0.15723858297200183,0.015225439329308418,0.008833730892149236,0.03662712762908648,0.1722222222222222,1.735687119998814,43.14707039995119,217.91916480002692,261.0662351999781,261.0662351999781,2575.618044599949,5e-05,0.005,0.3194490189773359,0,5e-05
10,0.019069776711209366,0.0058103410847252235,0.0009165932965212657,0.060144396328056855,0.015047236264217645,0.005762750044232235,0.06738266905304044,0.01774473675371458,0.005108208913588897,0.0007931561941707817,0.05715053528547287,0.015133253935103615,0.005520044484486183,0.15124546887042623,0.7375649977537974,0.8431155041701899,0.14692578524761618,0.014419590745323892,0.008379831947373597,0.034518720230973535,0.15555555555555553,1.8030417108345622,44.49176599999191,226.39454969996586,270.8863156999578,270.8863156999578,2846.5043602999067,5e-05,0.005,0.3053335544245498,0,5e-05
11,0.01745417280277858,0.005295201782913258,0.0006824573220607515,0.05520604941993952,0.014495201319611321,0.004978772630177749,0.0757086631997178,0.016042985091917216,0.004622657389457648,0.0006021833323757164,0.05188073307896654,0.01363478908315301,0.004507989015352602,0.16605428738209108,0.7453951019031214,0.8482769465971363,0.12961018681184464,0.013857612864385116,0.007994738374872886,0.03304037882872049,0.16388888888888886,1.7655559808365069,45.9406782000442,221.5343278000364,267.4750060000806,267.4750060000806,3113.9793662999873,5e-05,0.005,0.29564001530047196,0,5e-05
12,0.01589809813691924,0.004872255397882933,0.000545387822057819,0.05020063398405909,0.013331539672799408,0.004027827852405607,0.08669860248143474,0.01455362419753025,0.004256443933506186,0.0005130307940513982,0.04694585654263695,0.012392462037193278,0.0033834250702057035,0.16608366438498098,0.7527900958222219,0.8534092687174262,0.1090527728225607,0.013592763087948977,0.007690193677817513,0.03139801612760017,0.1361111111111111,1.7354223508348998,47.3915488999919,218.08978129999014,265.48133019998204,265.48133019998204,3379.4606964999693,5e-05,0.005,0.28629811398319577,0,5e-05
13,0.014480586621599893,0.004490839994590109,0.0004930083950360616,0.04558759637487431,0.012255376387232293,0.0030210269139691564,0.09805368956488868,0.013025471684522926,0.003843523682250331,0.0005004352068984492,0.041883594387521345,0.011240948872485508,0.002539902871164183,0.16099324243453642,0.7604414087517063,0.858247142867782,0.08407141404002312,0.01331775696775086,0.007377041391537844,0.030397336977958357,0.14444444444444446,1.714485664164628,44.398561500012875,215.24706799996784,259.6456294999807,259.6456294999807,3639.10632599995,5e-05,0.005,0.2773329696177899,0,5e-05
14,0.013070782460272313,0.004076870031227978,0.0004889797825550583,0.04103093347512186,0.011464377438339094,0.0021094222960527987,0.11239636392953495,0.011817587178666145,0.003569300672582661,0.0004511742502169606,0.0376731825992465,0.010130744869820773,0.00199706786176345,0.17024332570532957,0.7678654209561725,0.8631657233852456,0.062015022793350756,0.013177745926931087,0.007086963810602218,0.029658016403077563,0.12222222222222222,1.7318655624980843,44.05002590001095,217.58022780000465,261.6302537000156,261.6302537000156,3900.7365796999657,5e-05,0.005,0.2688795592575073,0,5e-05
15,0.01205019400998329,0.003770557185634971,0.0004883923948606632,0.03773423578434934,0.010882207568890105,0.001567793873255141,0.12610985001859565,0.011011286238984515,0.0033225018851226196,0.00048818118145087887,0.03483917090731362,0.010648299474269152,0.0014693406750059996,0.17431854667762917,0.7705710849455335,0.8650598769029332,0.05449567798458637,0.012881615723995205,0.007041125623475375,0.03044748410686293,0.13333333333333333,1.754068694166199,44.337406200007536,219.83507319999626,264.1724794000038,264.1724794000038,4164.909059099969,5e-05,0.005,0.2669175247848048,0,5e-05
