epoch,train_total_loss,train_sdf_loss,train_corner_loss,train_mask_loss,train_sep_loss,train_consistency_loss,train_kl_loss,val_total_loss,val_sdf_loss,val_corner_loss,val_mask_loss,val_sep_loss,val_consistency_loss,val_kl_loss,val_mean_mask_iou,val_mean_mask_dice,val_mean_area_relative_error,val_mean_centroid_distance_normalized,val_mean_boundary_chamfer_normalized,val_mean_boundary_hausdorff_normalized,val_mean_polygon_count_abs_diff,train_time_seconds,validation_time_seconds,epoch_compute_time_seconds,epoch_time_seconds,cumulative_compute_time_seconds,decoder_learning_rate,latent_learning_rate_current,validation_selection_score,no_improve_count,learning_rate_after_scheduler
1,0.3285154499734441,0.17774062755828102,0.14212966479244643,0.4741649698466063,0.39827817056308656,0.0768429777934216,37.598356650273004,0.14396452711274227,0.09212430597593387,0.011468294348257283,0.2192958495269219,0.012386755606470009,0.004187244442679609,48.58690592447917,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,36.44436589995166,6.198100899986457,42.64246679993812,42.64246679993812,42.64246679993812,5e-05,nan,3.0,0,5e-05
2,0.1349307715582351,0.08637708850825826,0.006112933705056397,0.21136939978847902,0.011843607639699863,0.003984335641628907,42.658182779947914,0.11840085232009491,0.07299791745220621,0.006117678860512872,0.19429893009364604,0.017481204587966204,0.005796699542164181,41.557172775268555,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,36.117477300053,6.217315400019288,42.334792700072285,42.334792700072285,84.9772595000104,5e-05,nan,3.0,1,5e-05
3,0.11178446989506483,0.06807794336540003,0.00421782455863043,0.18684693357596796,0.014148411018929134,0.004543994687749849,45.58953104019165,0.0992943363264203,0.05773392136519154,0.0048157368825438125,0.1734545398503542,0.019377555962031088,0.006009161654704561,46.37023487091064,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,36.016562399978284,6.294597000000067,42.31115939997835,42.31115939997835,127.28841889998876,5e-05,nan,3.0,2,5e-05
4,0.09420391513655584,0.05388497368743022,0.004154351389540049,0.16790114156901836,0.018966414934645095,0.005084644053325368,47.05289916992187,0.08616879458228748,0.046505911430964865,0.007599916755377005,0.15609244393805663,0.036609448756401736,0.007755921144659321,47.06141268412272,0.1398422150392502,0.19619668872686222,0.8314987156404755,0.6878251355493781,0.6766164676884586,0.7371300334698216,0.7444444444444442,36.86541580001358,6.578552899998613,43.44396870001219,43.44396870001219,170.73238760000095,5e-05,nan,2.27390428611903,0,5e-05
5,0.07963445469116172,0.04183146477056046,0.004163997997238766,0.15449421995629867,0.024275549776696912,0.00661092042864766,45.27022673288981,0.08049942428867023,0.04155946060394247,0.008571594321013738,0.14784594116111596,0.049943612329661845,0.01776918766554445,42.70816373825073,0.2324217374194636,0.3181667250676952,0.6479244603270972,0.3680524395003825,0.3561554680424876,0.3994725893238066,0.3777777777777777,36.596530199982226,7.069105800008401,43.66563599999063,43.66563599999063,214.39802359999157,5e-05,nan,1.5232063199468304,0,5e-05
6,0.06859902587408821,0.03256830776420732,0.003212123049403696,0.1463060594163835,0.02686154266120866,0.009041364139799649,43.31936157544454,0.06495022413631281,0.02847751638231178,0.006074271669300894,0.138930922995011,0.04938424859816829,0.015427502275755008,42.31081123352051,0.28430567139283247,0.3802379933144414,0.6054216138278807,0.0707068634239254,0.08181526683644505,0.17687626593079964,0.11388888888888889,36.27526119997492,7.013165799959097,43.28842699993402,43.28842699993402,257.6864505999256,5e-05,nan,0.9743858613744122,0,5e-05
7,0.059063641587272286,0.025285732792690398,0.0025936964365731304,0.13532485567654173,0.03084372595573465,0.009748394575823719,41.6459228515625,0.05884124717364709,0.02439572342361013,0.005925165920052678,0.13052194068829218,0.056904375459998845,0.011470716283656656,37.37347963651021,0.30369737852619344,0.41197703893785426,0.7071114791761902,0.038538850336271156,0.05183010217583579,0.15019343455743336,0.39444444444444443,36.22563820000505,6.9803990999935195,43.20603729999857,43.20603729999857,300.89248789992416,5e-05,nan,0.8983261582070758,0,5e-05
8,0.05113299593018989,0.020369155169464647,0.001921220516427032,0.12183230211958289,0.029770718538202345,0.009546511659088234,40.47274401982625,0.04682880848025282,0.017023434474443395,0.0029541649942984804,0.1138575967401266,0.039395866465444365,0.012692807925244172,38.38587891260783,0.5645582921271427,0.7133612678478142,0.2733044795933632,0.02851340554204792,0.017816476631899003,0.06921979196304308,0.11666666666666667,36.750501599977724,7.459600000001956,44.21010159997968,44.21010159997968,345.10258949990384,5e-05,nan,0.5224779764677994,0,5e-05
9,0.044791822073360285,0.017433809962434075,0.0012685888545092895,0.10774266390750806,0.024052276062623907,0.00951348030163596,38.774735911687216,0.04357204670086503,0.016773456109998128,0.0014818199934476676,0.10344493711988131,0.028320003983875117,0.010513197537511587,38.71578858693441,0.5611616942525857,0.7117150349421916,0.3308061427815704,0.023138082214230787,0.018140824547989605,0.06381543278250862,0.10555555555555556,36.306024999998044,7.632942600001115,43.93896759999916,43.93896759999916,389.041557099903,5e-05,nan,0.5207945630779125,0,5e-05
10,0.040317181435724096,0.015904110945605985,0.0008001868210461301,0.0958580390860637,0.020081481353069346,0.007908480712406648,36.81926981608073,0.04370397189632058,0.018269111153980097,0.0008733653584689212,0.09752743151038885,0.03035560060913364,0.013115248635100822,35.811588764190674,0.5748313679795942,0.7220945320858088,0.5412028649416284,0.022163162106075503,0.019131738947839556,0.05924257172725998,0.030555555555555555,36.35166859999299,7.822360699996352,44.17402929998934,44.17402929998934,433.21558639989235,5e-05,nan,0.5035429426955054,0,5e-05
